ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1,1,biʧtáxa,lenguatongue12950,false,expert,Chacon2017,b   i   ʧ   t   a   x   a,,Chacon2017
2,2,xuatsáɕe,dientetooth26290,false,expert,Chacon2017,x   u   a   t s   -   a   ɕ   e,,Chacon2017
3,3,tsxáɕe,nariznose15509,false,expert,Chacon2017,t s   x   a   ɕ   e,,Chacon2017
4,4,bɕni̵bé,ojoeye16702,false,expert,Chacon2017,b   ɕ   -   -   -   n   i ̵   b   e,,Chacon2017
5,5,bomínje,ojoeye16702,false,expert,Chacon2017,b   -   o   m   i   n   j   -   e,,Chacon2017
6,6,matskuáɕe,orejaear16948,false,expert,Chacon2017,(   m   a   t s   )   k   u   -   -   a   ɕ   e   -   -   -   -   -   -   -,,Chacon2017
7,7,ʧóʧo,tetasenopechowomansbreasts23304,false,expert,Chacon2017,-   -   ʧ   o   -   -   ʧ   o   -   -   -,,Chacon2017
8,8,kukuátɕe,manohand13857,false,expert,Chacon2017,-   -   k   u   -   k   u   a   t   ɕ   e   -,,Chacon2017
9,9,ntsamiáɕe,rodillaknee21080,false,expert,Chacon2017,n   t s   a   m   i   a   ɕ   e,,Chacon2017
10,10,bobáʧe,pielskin18855,false,expert,Chacon2017,b   o   b   a   ʧ   e,,Chacon2017
11,11,betáɕe,huesobone11566,false,expert,Chacon2017,b   e   t   a   -   ɕ   e,,Chacon2017
12,12,betábxa,huesobone11566,false,expert,Chacon2017,b   e   t   a   b   x   a,,Chacon2017
13,13,buíɲe,sangreblood21595,false,expert,Chacon2017,b   u   i   ɲ   e,,Chacon2017
14,14,entɕánga,gentepeople10159,false,expert,Chacon2017,e   n   t   ɕ   a   n   g   a,,Chacon2017
15,15,bojá,maridoesposohusband13968,false,expert,Chacon2017,b   o   j   a,,Chacon2017
16,16,taitá,padrefather17461,false,expert,Chacon2017,-   -   t   a   i   -   t   a   -   -,,Chacon2017
17,17,bébta,padrefather17540,false,expert,Chacon2017,b   e   b   t   a,,Chacon2017
18,18,bi̵tsananá,viejooldman25210,false,expert,Chacon2017,b   i ̵   -   t s   a   n   a   -   n   a,,Chacon2017
19,19,bi̵tsi̵jéma,viejooldman25210,false,expert,Chacon2017,b   i ̵   -   t s   i ̵   j   e   -   m   a,,Chacon2017
20,20,bobinjná,viejooldman25270,false,expert,Chacon2017,b   o   b   i   n   j   n   a,,Chacon2017
21,21,bújeʃe,aguawater464,false,expert,Chacon2017,b   u   j   e   ʃ   e,,Chacon2017
22,22,béxaje,aguawater464,false,expert,Chacon2017,b   e   x   a   j   e,,Chacon2017
23,23,béxaje,rioriver21301,false,expert,Chacon2017,b   -   e   x   a   j   e,,Chacon2017
24,24,bʃáxaje,rioriver21301,false,expert,Chacon2017,b   ʃ   a   x   a   j   e,,Chacon2017
25,25,wabxaxónaje,lagolake12432,false,expert,Chacon2017,w   a   b   x   a   x   o   n   a   j   e,,Chacon2017
26,26,xati̵ʃáɲe,pantanoswamp17729,false,expert,Chacon2017,x   a   t   i ̵   ʃ   a   ɲ   e,,Chacon2017
27,27,bʃawenaníɲe,catarataraudalrapids4292,false,expert,Chacon2017,b   ʃ   a   w   e   n   a   n   i   ɲ   e,,Chacon2017
28,28,íɲe,candelafuegofire3647,false,expert,Chacon2017,-   -   -   -   i   ɲ   e,,Chacon2017
