ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,kamsa,lenguatongue,biʧtáxa,biʧtáxa,b i ʧ t a x a,,Huber1992,,
2,,kamsa,dientetooth,xuatsáɕe,xuatsáɕe,x u a ts a ɕ e,,Huber1992,,
3,,kamsa,nariznose,tsxáɕe,tsxáɕe,ts x a ɕ e,,Huber1992,,
4,,kamsa,ojoeye,bɕni̵bé,bɕni̵bé,b ɕ n i̵ b e,,Huber1992,,
5,,kamsa,ojoeye,bomínje,bomínje,b o m i n j e,,Huber1992,,
6,,kamsa,orejaear,matskuáɕe,matskuáɕe,m a ts k u a ɕ e,,Huber1992,,
7,,kamsa,tetasenopechowomansbreasts,ʧóʧo,ʧóʧo,ʧ o ʧ o,,Huber1992,,
8,,kamsa,manohand,kukuátɕe,kukuátɕe,k u k u a t ɕ e,,Huber1992,,
9,,kamsa,rodillaknee,ntsamiáɕe,ntsamiáɕe,n ts a m i a ɕ e,,Huber1992,,
10,,kamsa,pielskin,bobáʧe,bobáʧe,b o b a ʧ e,,Huber1992,,
11,,kamsa,huesobone,betáɕe,betáɕe,b e t a ɕ e,,Huber1992,,
12,,kamsa,huesobone,betábxa,betábxa,b e t a b x a,,Huber1992,,
13,,kamsa,sangreblood,buíɲe,buíɲe,b u i ɲ e,,Huber1992,,
14,,kamsa,gentepeople,entɕánga,entɕánga,e n t ɕ a n g a,,Huber1992,,
15,,kamsa,maridoesposohusband,bojá,bojá,b o j a,,Huber1992,,
16,,kamsa,padrefather,taitá,taitá,t a i t a,,Huber1992,,
17,,kamsa,padrefather,bébta,bébta,b e b t a,,Huber1992,,
18,,kamsa,viejooldman,bi̵tsananá,bi̵tsananá,b i̵ ts a n a n a,,Huber1992,,
19,,kamsa,viejooldman,bi̵tsi̵jéma,bi̵tsi̵jéma,b i̵ ts i̵ j e m a,,Huber1992,,
20,,kamsa,viejooldman,bobinjná,bobinjná,b o b i n j n a,,Huber1992,,
21,,kamsa,aguawater,bújeʃe,bújeʃe,b u j e ʃ e,,Huber1992,,
22,,kamsa,aguawater,béxaje,béxaje,b e x a j e,,Huber1992,,
23,,kamsa,rioriver,béxaje,béxaje,b e x a j e,,Huber1992,,
24,,kamsa,rioriver,bʃáxaje,bʃáxaje,b ʃ a x a j e,,Huber1992,,
25,,kamsa,lagolake,wabxaxónaje,wabxaxónaje,w a b x a x o n a j e,,Huber1992,,
26,,kamsa,pantanoswamp,xati̵ʃáɲe,xati̵ʃáɲe,x a t i̵ ʃ a ɲ e,,Huber1992,,
27,,kamsa,catarataraudalrapids,bʃawenaníɲe,bʃawenaníɲe,b ʃ a w e n a n i ɲ e,,Huber1992,,
28,,kamsa,candelafuegofire,íɲe,íɲe,i ɲ e,,Huber1992,,
29,,kamsa,candelafuegofire,níɲe,níɲe,n i ɲ e,,Huber1992,,
30,,kamsa,solsun,ʃínje,ʃínje,ʃ i n j e,,Huber1992,,
31,,kamsa,lunamoon,xuaʃkóna,xuaʃkóna,x u a ʃ k o n a,,Huber1992,,
32,,kamsa,estrellastar,estrelʲatéma,estrelʲatéma,e s t r e lʲ a t e m a,,Huber1992,,
33,,kamsa,nochenight,ibéta,ibéta,i b e t a,,Huber1992,,
34,,kamsa,tierraearth,bʃántse,bʃántse,b ʃ a n ts e,,Huber1992,,
35,,kamsa,piedrastone,ndi̵tɕbé,ndi̵tɕbé,n d i̵ t ɕ b e,,Huber1992,,
36,,kamsa,casahouse,jébna,jébna,j e b n a,,Huber1992,,
37,,kamsa,techoroof,tsí̵xnaɲe,tsí̵xnaɲe,ts i̵ x n a ɲ e,,Huber1992,,
38,,kamsa,techoroof,bonxanána,bonxanána,b o n x a n a n a,,Huber1992,,
39,,kamsa,esteramat,txuáʃe,txuáʃe,t x u a ʃ e,,Huber1992,,
40,,kamsa,hamacahammock,uxonjaní̵ʃa,uxonjaní̵ʃa,u x o n j a n i̵ ʃ a,,Huber1992,,
41,,kamsa,caminosenderotrochapathtrail,benáʧe,benáʧe,b e n a ʧ e,,Huber1992,,
42,,kamsa,redfishnet,ataʒají̵ʃa,ataʒají̵ʃa,a t a ʒ a j i̵ ʃ a,,Huber1992,,
43,,kamsa,hachaaxe,tatɕnía,tatɕnía,t a t ɕ n i a,,Huber1992,,
44,,kamsa,cuchilloknife,kuʧiljí̵bxa,kuʧiljí̵bxa,k u ʧ i l j i̵ b x a,,Huber1992,,
45,,kamsa,canoacanoe,kanoúɕe,kanoúɕe,k a n o u ɕ e,,Huber1992,,
46,,kamsa,remopaddle,ʒembé,ʒembé,ʒ e m b e,,Huber1992,,
47,,kamsa,porramacanaclub,ngarotbé,ngarotbé,n g a r o t b e,,Huber1992,,
48,,kamsa,lanzaspear,lantsí̵ʃa,lantsí̵ʃa,l a n ts i̵ ʃ a,,Huber1992,,
49,,kamsa,flechaarrow,pleʧi̵bxuá,pleʧi̵bxuá,p l e ʧ i̵ b x u a,,Huber1992,,
50,,kamsa,cerbatanablowgun,xuesaní̵ɕa,xuesaní̵ɕa,x u e s a n i̵ ɕ a,,Huber1992,,
51,,kamsa,dantatapir,bi̵tsijá,bi̵tsijá,b i̵ ts i j a,,Huber1992,,
52,,kamsa,tigrejaguar,tígre,tígre,t i g r e,,Huber1992,,
53,,kamsa,tigrejaguar,txáɲe meséto,txáɲe meséto,t x a ɲ e,,Huber1992,,
54,,kamsa,leonpumapuma,león,león,l e o n,,Huber1992,,
55,,kamsa,armadilloquinquinchochupaarmadillo,armadilʲobé,armadilʲobé,a r m a d i lʲ o b e,,Huber1992,,
56,,kamsa,perrodog,kéɕe,kéɕe,k e ɕ e,,Huber1992,,
57,,kamsa,venadodeer,biángana,biángana,b i a n g a n a,,Huber1992,,
58,,kamsa,venadodeer,móngoxo,móngoxo,m o n g o x o,,Huber1992,,
59,,kamsa,pacaguaguamajaspaca,mí̵maɕe,mí̵maɕe,m i̵ m a ɕ e,,Huber1992,,
60,,kamsa,tortugatortoise,tortúgaɕe,tortúgaɕe,t o r t u g a ɕ e,,Huber1992,,
61,,kamsa,sainocollaredpeccary,saín kótɕe,saín kótɕe,s a i n,,Huber1992,,
62,,kamsa,agutiagouti,entsójeɕe,entsójeɕe,e n ts o j e ɕ e,,Huber1992,,
