ID,Name,Concepticon_ID,Concepticon_Gloss,Spanish_Gloss
abejabee,abeja,665,BEE,bee
achiotebijaachiote,"achiote, bija",349,ACHIOTE,achiote
aguawater,agua,948,WATER,water
agutiagouti,agutí,313,AGOUTI,agouti
ajahuascajajebanisterium,"ajahuasca, jajé",276,BANISTERIUM,banisterium
ajichilipepper,ají,919,CHILI PEPPER,chili pepper
algodoncotton,algodón,1850,COTTON,cotton
armadilloquinquinchochupaarmadillo,"armadillo, quinquincho, chupa",1885,ARMADILLO,armadillo
beberdrink,beber,1401,DRINK,drink
caimancayman,caimán,2438,CAIMAN,cayman
calabazoporogourd,calabazo poro,411,GOURD,gourd
caminosenderotrochapathtrail,"camino, sendero, trocha",,,"path, trail"
camotebatatasweetpotato,"camote, batata",159,SWEET POTATO,sweet potato
candelafuegofire,"candela, fuego",221,FIRE,fire
canoacanoe,canoa,1970,CANOE,canoe
caribepiranha,caribe,317,PIRANHA,piranha
casahouse,casa,1252,HOUSE,house
catarataraudalrapids,"catarata, raudal",1670,RAPIDS,rapids
canabravacane,caña brava,146,SUGAR CANE,cane
cerbatanablowgun,cerbatana,432,BLOWGUN,blowgun
chichamasatochicha,"chicha, masato",441,CHICHA,chicha
chiguiroronsococapybara,"chigüiro, ronsoco",314,CAPYBARA,capybara
chontachontapalm,chonta,440,CHONTA PALM,chonta palm
cincofive,cinco,493,FIVE,five
cocacoca,coca,137,COCA,coca
coronacrownofhead,corona,1943,CROWN (OF HEAD),crown of head
cuchilloknife,cuchillo,1352,KNIFE,knife
cuernohorn,cuerno,1393,HORN (ANATOMY),horn
curanderoshamanfolkhealer,curandero,394,SHAMAN (FOLK HEALER),"shaman, folk healer"
dantatapir,danta,312,TAPIR,tapir
dientetooth,diente,1380,TOOTH,tooth
dostwo,dos,1498,TWO,two
esteramat,estera,195,MAT,mat
estrellastar,estrella,1430,STAR,star
flechaarrow,flecha,977,ARROW,arrow
gallinazobuzzard,gallinazo,1865,BUZZARD,buzzard
gatocat,gato,1208,CAT,cat
gentepeople,gente,789,PEOPLE,people
guacamayomacaw,guacamayo,1630,MACAW,macaw
hachaaxe,hacha,677,AXE,axe
hamacahammock,hamaca,2019,HAMMOCK,hammock
harinadeyucamaniocflour,harina de yuca,324,MANIOC FLOUR,manioc flour
hojaleaf,hoja,2250,LEAF (LEAFLIKE OBJECT),leaf
hojadearboltreeleaf,hoja de árbol,628,LEAF,tree leaf
hormigaant,hormiga,587,ANT,ant
huesobone,hueso,1394,BONE,bone
higadoliver,hígado,1224,LIVER,liver
islaisland,isla,622,ISLAND,island
jabalimayorwhitelippedpeccary,jabalí mayor,436,WHITE-LIPPED PECCARY,white-lipped peccary
lagolake,lago,624,LAKE,lake
lanzaspear,lanza,945,SPEAR,spear
lechuzabuhoowl,"lechuza, buho",735,OWL,owl
lenguatongue,lengua,1205,TONGUE,tongue
leonpumapuma,"león, puma",1891,PUMA,puma
llenofull,lleno,1429,FULL,full
loroparrot,loro,882,PARROT,parrot
lunamoon,luna,1313,MOON,moon
manohand,mano,1277,HAND,hand
mapanaanacondawaterboa,mapana,896,ANACONDA (WATER BOA),"anaconda, water boa"
maridoesposohusband,"marido, esposo",1200,HUSBAND,husband
marimondamaquisapaspidermonkey,"marimonda, maquisapa",434,SPIDER MONKEY,spider monkey
maizcornmaize,maíz,506,MAIZE,"corn, maize"
monoaulladorhowlermonkey,mono aullador,433,HOWLER MONKEY,howler monkey
montanamountain,montaña,639,MOUNTAIN,mountain
montebush,monte,1683,BUSH,bush
morirdie,morir,1494,DIE,die
nariznose,nariz,1221,NOSE,nose
niguapiguechiggoejiggerflea,"nigua, pigue",438,CHIGGOE (JIGGER FLEA),"chiggoe, jigger flea"
nochenight,noche,1233,NIGHT,night
nombrename,nombre,1405,NAME,name
nuevonew,nuevo,1231,NEW,new
ojoeye,ojo,1248,EYE,eye
orejaear,oreja,1247,EAR,ear
orejeraareteearornament,"orejera, arete",,,ear ornament
osohormigueroanteater,oso hormiguero,181,ANTEATER,anteater
oirhear,oír,1408,HEAR,hear
pacaguaguamajaspaca,"paca, guagua, majas",316,PACA,paca
padrefather,padre,1217,FATHER,father
pantanoswamp,pantano,1145,SWAMP,swamp
pavademonteguan,pava de monte,437,GUAN,guan
payocurassow,payo,315,CURASSOW,curassow
pericopihuichoparakeet,"perico, pihuicho",886,PARAKEET,parakeet
perrodog,perro,2009,DOG,dog
pescadofish,pescado,227,FISH,fish
picaflorcolibrihummingbird,"picaflor, colibrí",1589,HUMMINGBIRD,hummingbird
piedrastone,piedra,857,STONE,stone
pielskin,piel,763,SKIN,skin
piojolouse,piojo,1392,LOUSE,louse
plumafeather,pluma,1201,FEATHER,feather
platanoplantain,plátano,399,PLANTAIN,plantain
porramacanaclub,"porra, macana",1763,CLUB,club
pulgaflea,pulga,232,FLEA,flea
quebradacanostream,"quebrada, caño",,,stream
redfishnet,red,388,FISHNET,fish net
remopaddle,remo,234,PADDLE,paddle
rodillaknee,rodilla,1371,KNEE,knee
rioriver,río,666,RIVER,river
salsalt,sal,1274,SALT,salt
sangreblood,sangre,946,BLOOD,blood
sainocollaredpeccary,saíno,435,COLLARED PECCARY,collared peccary
sementerademaizcornfield,sementera de maíz,449,CORN FIELD,corn field
semillaseed,semilla,714,SEED,seed
serpienteculebrasnake,"serpiente, culebra",730,SNAKE,snake
solsun,sol,1343,SUN,sun
sonajeromaracarattle,"sonajero, maraca",300,RATTLE,rattle
soplarblow,soplar,175,BLOW (OF WIND),blow
tabacotobacco,tabaco,974,TOBACCO,tobacco
tambordrum,tambor,908,DRUM,drum
techoroof,techo,769,ROOF,roof
tetasenopechowomansbreasts,"teta, seno, pecho",1402,BREAST,woman’s breasts
tierraearth,tierra,1228,EARTH (SOIL),earth
tigrejaguar,tigre,1250,JAGUAR,jaguar
tortugatortoise,tortuga,895,TORTOISE,tortoise
tortugamoteloriverturtle,"tortuga, motelo",112,TURTLE,river turtle
trochapath,trocha,2252,PATH,path
tucanpinshatoucan,"tucán, pinsha",308,TOUCAN,toucan
unoone,uno,1493,ONE,one
ustedyousingular,usted,1215,THOU,you (singular)
ustedesyouplural,ustedes,1213,YOU,you (plural)
unagarrafingernailclaw,"uña, garra",2128,CLAW OR NAIL,"fingernail, claw"
venadodeer,venado,1936,DEER,deer
venircome,venir,1446,COME,come
versee,ver,1409,SEE,see
viejooldman,viejo,406,OLD MAN,old man
yoi,yo,1209,I,i
yucamanioc,yuca,925,CASSAVA,manioc
zancudomosquito,zancudo,1509,MOSQUITO,mosquito
arboltree,árbol,906,TREE,tree
nameyam,ñame,410,YAM,yam
