ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Family
achagua,achagua,acha1250,,aca,,
awa,awa,awac1239,,kwi,,
baniva,baniva,bani1254,,bvv,,
barasana,barasana,bara1380,,bsn,,
bara,bará,waim1255,,bao,,
bari,barí,bari1297,,mot,,
bora,bora,bora1263,,boa,,
cabiyari,cabiyarí,cabi1241,,cbb,,
carapana,carapana,cara1272,,cbc,,
carijona,carijona,cari1279,,cbd,,
catio,catío,embe1260,,cto,,
chapalaachi,cha'palaachi,chac1249,,cbi,,
chimila,chimila,chim1309,,cbg,,
cubeo,cubeo,cube1242,,cub,,
cuiba,cuiba,cuib1242,,cui,,
curripaco,curripaco,curr1243,,kpc,,
desano,desano,desa1247,,des,,
dimina,dí̵mi̵na,mala1522,,mbp,,
emberadarien,embera Darién,nort2972,,emp,,
emberatado,embera Tadó,embe1261,,tdc,,
emberachami,embera chamí,embe1262,,cmi,,
epenasaija,epena Saija,epen1239,,sja,,
epenabasurudo,epena basurudó,epen1239,,sja,,
giacone,giacone,tari1256,,tae,,
guahibo,guahibo,guah1255,,guh,,
guambiano,guambiano,guam1248,,gum,,
guayabero,guayabero,guay1257,,guo,,
ika,ika,arhu1242,,arh,,
inga,inga,inga1252,,inb,,
jitnu,jitnu,maca1259,,mbn,,
jupda,jupda,hupd1244,,jup,,
kakua,kakua,cacu1241,,cbv,,
kamsa,kamsá,cams1241,,kbh,,
kogui,kogui,cogu1240,,kog,,
koreguaje,koreguaje,kore1283,,coe,,
macuna,macuna,macu1260,,myy,,
mirana,miraña,bora1263,,boa,,
muinane,muinane,muin1242,,bmr,,
nukak,nukak,nuka1242,,mbr,,
ocaina,ocaina,ocai1244,,oca,,
orejon,orejón,orej1242,,ore,,
piapoco,piapoco,piap1246,,pio,,
piratapuyo,piratapuyo,pira1254,,pir,,
playero,playero,play1240,,gob,,
puinave,puinave,puin1248,,pui,,
paez,páez,paez1247,,pbb,,
resigaro,resígaro,resi1247,,rgr,,
secoya,secoya,seco1241,,sey,,
siona,siona,sion1247,,snn,,
siriano,siriano,siri1274,,sri,,
saliba,sáliba,sali1298,,slc,,
tanimuca,tanimuca,tani1257,,tnc,,
tariano,tariano,tari1256,,tae,,
tatuyo,tatuyo,tatu1247,,tav,,
totoro,totoró,toto1306,,ttk,,
tsafiquipila,tsafiqui pila,colo1256,,cof,,
tucano,tucano,tuca1252,,tuo,,
tunebocentral,tunebo central,cent2150,,tuf,,
tuyuca,tuyuca,tuyu1244,,tue,,
waimaja,waimaja,waim1255,,bao,,
wanano,wanano,guan1269,,gvc,,
wayuu,wayuu,wayu1243,,guc,,
witotominica,witoto mi̵ni̵ca,mini1256,,hto,,
witotomurui,witoto murui,muru1274,,huu,,
witotonipode,witoto ni̵pode,nupo1240,,hux,,
wounaan,wounaan,woun1238,,noa,,
yucuna,yucuna,yucu1253,,ycn,,
yukpa,yukpa,yukp1241,,yup,,
yuruti,yurutí,yuru1263,,yui,,
